happychild,Palo Alto - L. M. Nixon Elementary School,Stanford Ave at Junipero Serra Rd,37.414253,-122.15605,"Wednesdays, 12:30 PM  to 9:00 PM"
happychild,Palo Alto-Fairmeadow,Redwood Cir & E Charleston Rd,37.41884,-122.11656,"Wednesdays, 3:00 PM  to 8:00 PM"
happychild,Palo Alto-Stanford,Charles Marx Way & Sand Hill Rd,37.4373,-122.17953,"Wednesdays, 3:00 PM  to 8:00 PM"
happychild,Parker School - SCHOOL FAMILIES ONLY,Parker Ave and Euclid Ave,37.782825,-122.45438,"Tuesdays, 1:00 PM  to 3:00 PM"
happychild,Piedmont,Manor Dr & Cambridge Way,37.82514,-122.2416,"Tuesdays, 3:00 PM  to 8:00 PM"
happychild,Piedmont Middle School - SCHOOL FAMILIES ONLY,Magnolia Ave and Bonita Ave,37.822773,-122.23455,"Tuesdays, 1:00 PM  to 6:00 PM"
happychild,Pixar Emeryville - PRIVATE,1200 Park Ave,37.83286,-122.284,"Tuesdays, 3:00 PM  to 8:00 PM"
happychild,Pleasanton,Bernal at Hearst,0,0,"Wednesdays, 3:00 PM  to 8:00 PM"
happychild,Redwood City,Delaware Ave & Maryland St,37.452366,-122.23152,"Wednesdays, 3:00 PM  to 8:00 PM"
happychild,S.F. Bernal/Misson,Precita Ave & Folsom St,37.74729,-122.41736,"Tuesdays, 3:00 PM  to 8:00 PM"
happychild,S.F. Ferry Building - SAT,One Ferry Building,37.871613,-122.44387,"Saturdays, 8:00 AM  to 2:00 PM"
happychild,S.F. Ferry Building - TUES,The Embarcadero,37.795197,-122.39301,"Tuesdays, 2:30 PM  to 4:00 PM"
happychild,S.F. Noe Valley,Douglass St and 25th St,37.74975,-122.43834,"Tuesdays, 3:00 PM  to 8:00 PM"
happychild,S.F. Presidio,"Liggett Ave, Between Morton St & Vista Ct",37.793697,-122.45059,"Tuesdays, 3:00 PM  to 8:00 PM"
happychild,"S.F. Town School For Boys, PRIVATE",Pacific Heights,37.79205,-122.44025,"Tuesdays, 2:00 PM  to 6:00 PM"
happychild,S.F.-Sunset Dist,6th Ave & Kirkham St,37.75988,-122.46313,"Tuesdays, 3:00 PM  to 5:30 PM"
happychild,San Carlos,Ellm St & Arroyo Ave,37.501225,-122.25797,"Wednesdays, 4:00 PM  to 8:00 PM"
happychild,San Francisco Almaden - Weekly Delivery,,37.09024,-95.71289,
happychild,San Jose-Almaden,Camelia Dr & Washoe Dr,37.21728,-121.87126,"Wednesdays, 3:00 PM  to 8:00 PM"
happychild,San Jose-Almaden Weekly Delivery Waitlist,Camelia Dr & Washoe Dr,0,0,"Wednesdays, 3:00 PM  to 8:00 PM"
happychild,San Jose-Naglee Park,S 14th St & E San Salvador St,37.336014,-121.87266,"Wednesdays, 4:00 PM  to 8:00 PM"
happychild,San Jose-Willow Glen,Chabrant Way & Willow St,37.310955,-121.89822,"Wednesdays, 4:00 PM  to 8:00 PM"
happychild,San Ramon,Mediar Drive & S. Gale Ridge Road,0,0,"Tuesdays, 3:00 PM  to 8:00 PM"
